jday	Time	u_ref	T_ref	d_ref	precip	q_par	T_canopy	d_canopy	p_atm	CO2_atm	T0	Tsurf	Troot	Zw	lai	A	Ec
125	0	0.85	16.4791666666667	1.44644849617815	0	0	16.4791666666667	1.44644849617815	83.7	380	16.4791666666667	16.4791666666667	16.4791666666667	10	1	-999	-999
125	0.5	0.85	15.875	1.41938624871655	0	0	15.875	1.41938624871655	83.7	380	15.875	15.875	15.875	10	1	-999	-999
125	1	0.85	15.8958333333333	1.42937426762901	0	0	15.8958333333333	1.42937426762901	83.7	380	15.8958333333333	15.8958333333333	15.8958333333333	10	1	-999	-999
125	1.5	0.85	16.0833333333333	1.45634435184911	0	0	16.0833333333333	1.45634435184911	83.7	380	16.0833333333333	16.0833333333333	16.0833333333333	10	1	-999	-999
125	2	0.85	15.9583333333333	1.45497811188772	0	0	15.9583333333333	1.45497811188772	83.7	380	15.9583333333333	15.9583333333333	15.9583333333333	10	1	-999	-999
125	2.5	0.85	16.0625	1.47082242450541	0	0	16.0625	1.47082242450541	83.7	380	16.0625	16.0625	16.0625	10	1	-999	-999
125	3	0.85	16.2083333333333	1.47030865771401	0	0	16.2083333333333	1.47030865771401	83.7	380	16.2083333333333	16.2083333333333	16.2083333333333	10	1	-999	-999
125	3.5	0.85	16.1666666666667	1.45673904440172	0	0	16.1666666666667	1.45673904440172	83.7	380	16.1666666666667	16.1666666666667	16.1666666666667	10	1	-999	-999
125	4	0.85	16.2708333333333	1.45587280406691	0	0	16.2708333333333	1.45587280406691	83.7	380	16.2708333333333	16.2708333333333	16.2708333333333	10	1	-999	-999
125	4.5	0.85	16.4791666666667	1.45908505256301	0	0	16.4791666666667	1.45908505256301	83.7	380	16.4791666666667	16.4791666666667	16.4791666666667	10	1	-999	-999
125	5	0.85	16.5416666666667	1.48217930529628	0	0	16.5416666666667	1.48217930529628	83.7	380	16.5416666666667	16.5416666666667	16.5416666666667	10	1	-999	-999
125	5.5	0.85	17.0416666666667	1.50627946446533	0	0	17.0416666666667	1.50627946446533	83.7	380	17.0416666666667	17.0416666666667	17.0416666666667	10	1	-999	-999
125	6	0.85	17.4166666666667	1.52408602745872	0	300	17.4166666666667	1.52408602745872	83.7	380	17.4166666666667	17.4166666666667	17.4166666666667	10	1	-999	-999
125	6.5	0.85	17.8125	1.55521241871156	0	300	17.8125	1.55521241871156	83.7	380	17.8125	17.8125	17.8125	10	1	-999	-999
125	7	0.85	19.0208333333333	1.62191189433585	0	300	19.0208333333333	1.62191189433585	83.7	380	19.0208333333333	19.0208333333333	19.0208333333333	10	1	-999	-999
125	7.5	0.85	21.0416666666667	1.74214337313719	0	300	21.0416666666667	1.74214337313719	83.7	380	21.0416666666667	21.0416666666667	21.0416666666667	10	1	-999	-999
125	8	0.85	20.8541666666667	1.73592676121405	0	300	20.8541666666667	1.73592676121405	83.7	380	20.8541666666667	20.8541666666667	20.8541666666667	10	1	-999	-999
125	8.5	0.85	19.7291666666667	1.64104095327995	0	300	19.7291666666667	1.64104095327995	83.7	380	19.7291666666667	19.7291666666667	19.7291666666667	10	1	-999	-999
125	9	0.85	19.6666666666667	1.61298488975489	0	300	19.6666666666667	1.61298488975489	83.7	380	19.6666666666667	19.6666666666667	19.6666666666667	10	1	-999	-999
125	9.5	0.85	19.4166666666667	1.60656618093334	0	300	19.4166666666667	1.60656618093334	83.7	380	19.4166666666667	19.4166666666667	19.4166666666667	10	1	-999	-999
125	10	0.85	20.5208333333333	1.59370430558597	0	300	20.5208333333333	1.59370430558597	83.7	380	20.5208333333333	20.5208333333333	20.5208333333333	10	1	-999	-999
125	10.5	0.85	21.4375	1.6418869794065	0	300	21.4375	1.6418869794065	83.7	380	21.4375	21.4375	21.4375	10	1	-999	-999
125	11	0.85	23.5416666666667	1.79394045865336	0	300	23.5416666666667	1.79394045865336	83.7	380	23.5416666666667	23.5416666666667	23.5416666666667	10	1	-999	-999
125	11.5	0.85	24.0833333333333	1.8605312480316	0	300	24.0833333333333	1.8605312480316	83.7	380	24.0833333333333	24.0833333333333	24.0833333333333	10	1	-999	-999
125	12	0.85	23.8958333333333	1.83872612849889	0	300	23.8958333333333	1.83872612849889	83.7	380	23.8958333333333	23.8958333333333	23.8958333333333	10	1	-999	-999
125	12.5	0.85	22.2916666666667	1.7511591336605	0	300	22.2916666666667	1.7511591336605	83.7	380	22.2916666666667	22.2916666666667	22.2916666666667	10	1	-999	-999
125	13	0.85	21.6666666666667	1.71653701252869	0	300	21.6666666666667	1.71653701252869	83.7	380	21.6666666666667	21.6666666666667	21.6666666666667	10	1	-999	-999
125	13.5	0.85	20.7708333333333	1.65901737135761	0	300	20.7708333333333	1.65901737135761	83.7	380	20.7708333333333	20.7708333333333	20.7708333333333	10	1	-999	-999
125	14	0.85	21.1041666666667	1.68994319900336	0	300	21.1041666666667	1.68994319900336	83.7	380	21.1041666666667	21.1041666666667	21.1041666666667	10	1	-999	-999
125	14.5	0.85	21.1666666666667	1.67689327792556	0	300	21.1666666666667	1.67689327792556	83.7	380	21.1666666666667	21.1666666666667	21.1666666666667	10	1	-999	-999
125	15	0.85	21.5416666666667	1.68277055177191	0	300	21.5416666666667	1.68277055177191	83.7	380	21.5416666666667	21.5416666666667	21.5416666666667	10	1	-999	-999
125	15.5	0.85	21.7291666666667	1.72753454610186	0	300	21.7291666666667	1.72753454610186	83.7	380	21.7291666666667	21.7291666666667	21.7291666666667	10	1	-999	-999
125	16	0.85	20.6875	1.67588350615996	0	300	20.6875	1.67588350615996	83.7	380	20.6875	20.6875	20.6875	10	1	-999	-999
